X                     	Y                     	FLY0                  	FF                    	FLY                   	Exact                 	Error                 
-2.000000000000000E+00	+6.170338627200096E-01	+1.911144756860628E-01	-5.536335447451334E-03	+1.855781402386114E-01	+1.855782942104467E-01	+1.539718352816521E-07
-1.990000000000002E+00	+6.185187511028285E-01	+1.921584719644189E-01	-5.536301056275346E-03	+1.866221709081436E-01	+1.866220169694560E-01	+1.539386875748505E-07
-1.980000000000000E+00	+6.200116886845165E-01	+1.932108838784565E-01	-5.536266838052652E-03	+1.876746170404039E-01	+1.876747710088441E-01	+1.539684401918873E-07
-1.969999999999999E+00	+6.215127280179713E-01	+1.942730377435934E-01	-5.536232792774704E-03	+1.887368049508187E-01	+1.887366510202489E-01	+1.539305698183835E-07
-1.960000000000001E+00	+6.230219217690002E-01	+1.953437975923141E-01	-5.536198920432984E-03	+1.898075986718812E-01	+1.898077526371802E-01	+1.539652990933948E-07
-1.949999999999999E+00	+6.245393227045571E-01	+1.964244915797105E-01	-5.536165221019030E-03	+1.908883263586915E-01	+1.908881724363820E-01	+1.539223095647912E-07
-1.940000000000001E+00	+6.260649836804109E-01	+1.975139856708208E-01	-5.536131694524414E-03	+1.919778539762964E-01	+1.919780079387198E-01	+1.539624233937165E-07
-1.930000000000000E+00	+6.275989576282379E-01	+1.986136098644082E-01	-5.536098340940756E-03	+1.930775115234675E-01	+1.930773576095788E-01	+1.539138887174385E-07
-1.920000000000002E+00	+6.291412975421018E-01	+1.997222320591618E-01	-5.536065160259718E-03	+1.941861668989021E-01	+1.941863208587292E-01	+1.539598271371734E-07
-1.910000000000000E+00	+6.306920564643135E-01	+2.008411840974180E-01	-5.536032152473006E-03	+1.953051519449450E-01	+1.953049980396454E-01	+1.539052996157864E-07
-1.899999999999999E+00	+6.322512874706345E-01	+2.019693358082828E-01	-5.535999317572373E-03	+1.964333364907104E-01	+1.964334904482326E-01	+1.539575221753964E-07
-1.890000000000001E+00	+6.338190436548120E-01	+2.031080208730126E-01	-5.535966655549608E-03	+1.975720542174629E-01	+1.975719003209428E-01	+1.538965201386411E-07
-1.879999999999999E+00	+6.353953781124153E-01	+2.042561110431040E-01	-5.535934166396549E-03	+1.987201768767075E-01	+1.987203308322398E-01	+1.539555323226693E-07
-1.870000000000001E+00	+6.369803439239452E-01	+2.054149418290198E-01	-5.535901850105075E-03	+1.998790399789147E-01	+1.998788860913759E-01	+1.538875387396832E-07
-1.859999999999999E+00	+6.385739941372025E-01	+2.065833868912538E-01	-5.535869706667111E-03	+2.010475171845867E-01	+2.010476711384543E-01	+1.539538675709995E-07
-1.850000000000001E+00	+6.401763817488721E-01	+2.077627835541388E-01	-5.535837736074620E-03	+2.022269458180642E-01	+2.022267919397263E-01	+1.538783378218778E-07
-1.840000000000000E+00	+6.417875596853133E-01	+2.089520073678676E-01	-5.535805938319616E-03	+2.034162014295480E-01	+2.034163553820978E-01	+1.539525497917804E-07
